id,question,source,product,manual,rank,score,images,preview
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,gpt5.5,可编程温控器,可编程温控器手册.txt,1,0.7812494785951909,"Manual36_34,Manual36_35,Manual36_36",# 常规系统接线 备用接线（常规系统） 若标签与端子不匹配，请按下图连接电线（见下方注释） # 注释： 1. 若必须同时连接R和Rc电线，将R滑动开关拨至向下位置（2根电线）。 2.若旧温控器同时有R和RH电线，将R滑动开关拨至向下位置（2根电线）。然后将R线连接至Rc端子，RH线连接至R端子。 3. 若旧温控器仅有1根C或C1电线，将其连接至C端子。若旧温控器有2根C或C1电线，分别用电工胶带包裹且不连接。 <PIC> # 热泵系统接线 # 连接电线：热泵 将每根标记电线与新温控器上的相同字母匹配 将电线插入对应端子。 注：若插入电线困难，可按下对应端子旁的端子按钮 标签不匹配？ 若标签与温
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,gpt5.5,可编程温控器,可编程温控器手册.txt,2,0.733403349271788,"Manual36_8,Manual36_9,Manual36_10,Manual36_11,Manual36_12,Manual36_13",# 确认无120/240伏电线。 是否有带线帽的粗黑色电线？ 您的温控器电压是否为120伏或更高？ 若任一问题答案为是，则您的系统为线电压系统，本温控器不适用。 <PIC> 5 拍摄当前接线照片。 务必拍下电线插入端子旁的字母标识。这将为您后续接线提供参考。 提示：若电线颜色褪色或两个端子电线颜色相同，请使用包装内提供的电线标签标记每根电线。<PIC> 6 拆除所有跨接线 跨接线用于连接两个端子，外观类似小订书钉或彩色电线，继续操作前必须拆除。使用螺丝刀将电线从端子上松开。 <PIC> RTH 7500型温控器无需跨接线。 7 记录以下端子是否有电线 计数时请勿包含跨接线。本温控器无需跨接线。
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,gpt5.5,可编程温控器,可编程温控器手册.txt,3,0.6438729184635015,"Manual36_14,Manual36_15,Manual36_16,Manual36_17,Manual36_18,Manual36_19,Manual36_20",# 安装温控器 <PIC> 10 整理并将电线穿过UWP底座 打开UWP底座，将成束电线从底座背面穿过。确保每根电线至少露出1/4英寸，便于插入电线端子。 <PIC> 11 安装墙塞。 建议使用包装盒内提供的墙塞安装温控器。 您可使用UWP底座标记墙塞安装位置。 a) 校准墙座水平 b) 用铅笔标记墙塞位置。 c) 钻孔。 d) 插入墙塞 e) 确保墙塞与墙面齐平。 提示：使用7/32英寸钻头 <PIC> 12 设置R开关位置并插入R线。 根据步骤7的接线记录上下拨动R开关 将电线插入UWP底座端子的内孔。电线插入后卡舌会保持下压状态。 若仅有1根R线（R、Rh或Rc） <PIC> 1. 将R
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,gpt5.5,可编程温控器,可编程温控器手册.txt,4,0.6282488421773821,"Manual36_21,thermostat_01,Manual36_22,Manual36_23,Manual36_24,Manual36_25,thermostat_07,Manual36_26",# 轻轻拉动电线确认连接牢固。 提示：若需再次松开电线，按下UWP底座侧面的端子卡舌即可 <PIC> # 14 安装UWP底座并关闭盖板。 使用配套螺丝安装UWP底座。安装全部三颗螺丝确保墙面固定牢固。完成后关闭盖板。 # 15 确认接线与照片一致。请确认接线与步骤5拍摄的照片端子一致。 <PIC> # 16 安装电池。 如图所示在温控器背面装入两节AA碱性电池 <PIC> # 17 安装温控器主体。 将温控器对准UWP底座并用力卡入到位。 <PIC> # 18 打开电源。在断路器箱或控制供暖/制冷系统的开关处打开电源。 <PIC> # 19 设置日期和时间 19 设置日期。按+或-调整年份。
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,current,可编程温控器,可编程温控器手册.txt,1,0.9998102784156799,Manual36_35,# 热泵系统接线 # 连接电线：热泵 将每根标记电线与新温控器上的相同字母匹配 将电线插入对应端子。 注：若插入电线困难，可按下对应端子旁的端子按钮 标签不匹配？ 若标签与温控器字母不匹配，请参阅第13页 <PIC>
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,current,可编程温控器,可编程温控器手册.txt,2,0.9981809854507446,"Manual36_10,Manual36_11,Manual36_12,Manual36_13",<PIC> RTH 7500型温控器无需跨接线。 7 记录以下端子是否有电线 计数时请勿包含跨接线。本温控器无需跨接线。 <PIC> 8 记录电线颜色。 勾选连接至端子的电线，并在勾选旁写下电线颜色。计数时请勿包含跨接线。 勾选适用选项（并非全部适用） <PIC> RTH 7500型温控器不支持L/A、S或U端子 若有电线连接至未列出的端子，您需要额外的接线支持，本温控器方可正常使用 快速安装指南 ) 断开电线并拆卸旧墙座。 使用螺丝刀将电线从端子松开。然后，使用电线标签在断开时标记每根电线。电线标签上的字母应与端子字母一致。 提示：为防止电线缩回墙内，可将电线缠绕在铅笔上。 <PIC>
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,current,可编程温控器,可编程温控器手册.txt,3,0.9933468103408813,"Manual36_8,Manual36_9",# 确认无120/240伏电线。 是否有带线帽的粗黑色电线？ 您的温控器电压是否为120伏或更高？ 若任一问题答案为是，则您的系统为线电压系统，本温控器不适用。 <PIC> 5 拍摄当前接线照片。 务必拍下电线插入端子旁的字母标识。这将为您后续接线提供参考。 提示：若电线颜色褪色或两个端子电线颜色相同，请使用包装内提供的电线标签标记每根电线。<PIC> 6 拆除所有跨接线 跨接线用于连接两个端子，外观类似小订书钉或彩色电线，继续操作前必须拆除。使用螺丝刀将电线从端子上松开。
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,current,可编程温控器,可编程温控器手册.txt,4,0.993317723274231,"Manual36_32,Manual36_33",# 程序日程临时覆盖 1按+或-调整温度 调整至所需设定温度后，无需其他操作。新的设定温度将保持至下一个预定时间段开始 有关日程时间段的更多信息，请参阅第11页“程序日程”。 <PIC> 3 取消临时保持，按+或-，然后按取消键 # 程序日程永久覆盖 1按+或-调整温度 2 显示“临时保持”且设定温度闪烁 闪烁时，按保持（模式）键切换至永久保持 3 取消永久保持，按+或-，然后按取消键 <PIC> # 常规系统接线 备用接线（常规系统） 若标签与端子不匹配，请按下图连接电线（见下方注释）
243,How do I use the battery conversion feature before sailing?,gpt5.5,2021 Boat 210FSH SPORT 210FSH DELUXE,英文汇总手册.txt,1,0.5994482469819818,"Manual09_42,Manual09_43,Manual09_44",# Battery switches The batteries and switch assembly are located in the battery compartment. This boat uses two marine batteries. One battery is designated as the start battery. The start battery is connected to the starter circuit on the engine to provide current for the starter motor. The other ba
243,How do I use the battery conversion feature before sailing?,gpt5.5,2021 Boat 210FSH SPORT 210FSH DELUXE,英文汇总手册.txt,2,0.578934429389079,"Manual09_157,Manual09_158",# WARNING Do not carry any flammable substances in the compartment or any heavy or metal items that can damage the battery or cause a short circuit. Sparks or fire could result. The battery compartment is located on the port side of the boat at the stern. To open the battery compartment: Unhook the
